lid,osm_id,nid1,nid2,voltage,cables,wires,length_direct
1,243988949,1,2,500000,3,,29.3
2,56393467,1,3,500000,3,,210
3,243923181,2,3,500000,3,,220
4,243917155,3,4,500000,3,,169
5,243917153,3,4,500000,3,,169
6,182934944,4,5,500000,3,,327
7,243991062,4,5,500000,3,,327
8,244967937,5,6,500000,3,,287.2
9,244967936,5,7,500000,3,,342
10,244967935,5,7,500000,3,,342
11,53233624,6,7,500000,3,,60.1
12,246320154,6,8,500000,3,,302
13,245484216,7,9,500000,3,,173
14,245484217,7,8,500000,3,,255
15,245480080,7,8,500000,3,,255
16,245490151,9,11,500000,3,,195
17,72784124,8,11,500000,3,,101
18,247037586,8,12,500000,3,,363
19,245890039,11,13,500000,3,,70.3
20,245890041,11,13,500000,3,,70.3
21,247469156,13,14,500000,3,,216
22,247023976,13,14,500000,3,,216
23,247031440,12,14,500000,3,,119
24,218730396,12,15,500000,3,,74.7
25,247027012,14,15,500000,3,,120
26,73323612,15,16,500000,3,,128
27,256271055,17,18,220000,6,,39.3
28,245464083,18,19,220000,6,,296.89
29,256271034,5,21,220000,6,,174
30,256271061,5,22,220000,6,,270
31,254070556,21,22,220000,3,,110
32,239978076,22,23,220000,6,,139
33,254070555,22,24,220000,6,,89
34,256273664,25,8,220000,6,,13
35,245890012,8,27,220000,6,,110
36,245890010,11,29,220000,6,,58
37,245890018,11,30,220000,6,,14
38,245890014,11,31,220000,6,,53.3
39,256276355,11,32,220000,6,,39.5
40,245849159,33,34,220000,6,,46.7
41,256277596,13,36,220000,6,,39.7
42,253889966,36,37,220000,6,,36.3
43,253889964,36,38,220000,6,,60.5
44,256277594,36,39,220000,6,,116.3
45,253889963,38,39,220000,6,,30.2
46,248445870,39,40,220000,6,,15
47,248445867,10,39,220000,6,,10.5
48,248446797,21,39,220000,,,2.8
49,248446796,21,39,220000,,,2.8
50,248446795,21,39,220000,,,2.8
51,,6,26,500000,,,0.6
52,,12,28,500000,,,0.3
53,218764758,15,35,500000,3,,0.5
54,218755800,15,35,500000,3,,0.5
